Longitude, latitude

0.627063, 41.614557
0.627543, 41.615062
0.627580, 41.615101
0.627847, 41.615397
0.628019, 41.615317
0.627908, 41.615195
0.627684, 41.614939
0.627818, 41.614871
0.629325, 41.614145
0.629382, 41.614109
0.629709, 41.614427
0.630155, 41.614582
0.631258, 41.614873
0.632932, 41.615291
0.633636, 41.615705
0.633819, 41.615469
0.634019, 41.615155
0.634117, 41.615178
0.634207, 41.615152
0.634255, 41.615103
0.635546, 41.615278
0.635958, 41.615333
0.637813, 41.615579
0.637939, 41.615620
0.639084, 41.615758
0.639884, 41.615684
0.641288, 41.615306
0.641760, 41.615148
0.642002, 41.615437
0.643029, 41.615286
0.644749, 41.614883
0.647226, 41.614313
0.647258, 41.614540
0.647031, 41.614727
0.647494, 41.616061
0.647582, 41.616065
0.647650, 41.616097
0.647697, 41.616112
0.647688, 41.616217
0.649847, 41.615804
0.649938, 41.615885
0.650046, 41.615910
0.650292, 41.616052
0.650865, 41.616773
0.650941, 41.616704
0.651366, 41.616387
0.651936, 41.616194
0.652578, 41.615990
0.653155, 41.615911
0.653599, 41.615921
0.654334, 41.615980
0.655241, 41.616141
0.656281, 41.616502
0.659952, 41.617717
0.662800, 41.618782
0.664835, 41.619363
0.665768, 41.619560
0.669593, 41.620214
0.679529, 41.620841
0.682094, 41.621112
0.684914, 41.621711
0.693657, 41.624282
0.695946, 41.624911
0.697433, 41.625218
0.698851, 41.625446
0.699163, 41.625471
0.703399, 41.625816
0.719083, 41.627132
0.727217, 41.627820
0.736521, 41.628586
0.736902, 41.628617
0.745943, 41.629366
0.750815, 41.629744
0.755454, 41.630129
0.760440, 41.630521
0.765136, 41.630928
0.769480, 41.631264
0.776081, 41.631814
0.779067, 41.631836
0.784464, 41.631422
0.786903, 41.631302
0.791949, 41.630130
0.795869, 41.629031
0.805951, 41.629581
0.817470, 41.631031
0.829959, 41.631265
0.846320, 41.630645
0.882894, 41.631381
0.885392, 41.631479
0.893938, 41.631842
0.895808, 41.631945
0.897795, 41.632038
0.908981, 41.633338
0.917974, 41.634339
0.920706, 41.634726
0.923645, 41.635015
0.926907, 41.635207
0.929525, 41.635421
0.931854, 41.635837
0.937416, 41.637876
0.943432, 41.638162
0.953571, 41.638086
0.965815, 41.637682
